address,latitude,longitude,datetime,maxt,mint,temp,precip,wspd,wdir,wgust,pressure
Ireland,53.3481,-6.24827,2023-05-01,61.3,44.1,54.2,0.1,14.5,239.5,,1019.4
Ireland,53.3481,-6.24827,2023-05-02,61.4,44.0,53.4,0.0,12.0,129.33,,1023.8
Ireland,53.3481,-6.24827,2023-05-03,59.7,48.5,53.8,0.0,14.8,115.63,,1022.3
Ireland,53.3481,-6.24827,2023-05-04,54.6,47.1,51.2,0.02,21.1,89.54,33.3,1012.1
Ireland,53.3481,-6.24827,2023-05-05,64.5,50.7,56.8,0.18,14.8,176.83,,1006.5
Ireland,53.3481,-6.24827,2023-05-06,60.4,47.7,54.4,0.01,9.5,168.79,,1010.4
Ireland,53.3481,-6.24827,2023-05-07,64.0,49.9,57.3,0.0,14.7,202.08,,1014.2
Ireland,53.3481,-6.24827,2023-05-08,65.5,54.4,58.8,0.42,15.0,215.21,28.9,1011.7
Ireland,53.3481,-6.24827,2023-05-09,60.5,48.4,54.2,0.18,11.9,239.79,,1010.4
Ireland,53.3481,-6.24827,2023-05-10,58.7,50.2,53.3,0.01,18.3,245.92,21.9,1010.6
Ireland,53.3481,-6.24827,2023-05-11,55.9,47.2,51.8,0.23,13.6,171.63,,1015.8
Ireland,53.3481,-6.24827,2023-05-12,59.3,40.3,50.7,0.0,11.3,160.92,,1027.7
Ireland,53.3481,-6.24827,2023-05-13,60.7,40.3,51.1,0.0,9.0,93.92,,1027.6
Ireland,53.3481,-6.24827,2023-05-14,57.9,44.2,53.1,0.01,16.6,264.92,,1020.8
Ireland,53.3481,-6.24827,2023-05-15,56.8,39.1,48.6,0.0,12.9,284.88,,1024.8
Ireland,53.3481,-6.24827,2023-05-16,61.9,37.1,50.6,0.0,11.1,298.0,,1028.0
Ireland,53.3481,-6.24827,2023-05-17,64.5,40.2,54.0,0.0,10.9,232.33,,1028.8
Ireland,53.3481,-6.24827,2023-05-18,62.7,49.2,55.5,0.0,11.8,257.46,,1027.7
Ireland,53.3481,-6.24827,2023-05-19,60.9,45.2,54.6,0.0,9.6,266.17,,1030.0
Ireland,53.3481,-6.24827,2023-05-20,58.9,52.1,55.3,0.0,6.6,77.92,,1028.2
Ireland,53.3481,-6.24827,2023-05-21,62.1,48.0,55.3,0.0,10.7,123.88,,1024.9
Ireland,53.3481,-6.24827,2023-05-22,60.6,49.6,54.8,0.0,14.2,311.54,,1027.1
Ireland,53.3481,-6.24827,2023-05-23,64.1,43.3,53.7,0.0,12.6,295.38,,1029.5
Ireland,53.3481,-6.24827,2023-05-24,61.7,45.0,54.2,0.0,12.5,302.38,,1029.5
Ireland,53.3481,-6.24827,2023-05-25,66.4,46.3,57.1,0.0,10.1,232.25,,1032.4
Ireland,53.3481,-6.24827,2023-05-26,64.2,45.7,57.0,0.0,10.1,135.29,,1033.0
Ireland,53.3481,-6.24827,2023-05-27,67.9,46.2,58.9,0.0,10.9,94.29,,1027.7
Ireland,53.3481,-6.24827,2023-05-28,58.9,50.6,54.6,0.0,14.3,39.63,26.4,1027.6
Ireland,53.3481,-6.24827,2023-05-29,60.9,47.7,55.6,0.0,15.0,63.54,,1030.1
Ireland,53.3481,-6.24827,2023-05-30,62.8,45.9,56.4,0.0,13.0,66.29,,1031.6
Ireland,53.3481,-6.24827,2023-05-31,60.5,44.4,54.9,0.0,15.4,59.29,,1029.6
Ireland,53.3481,-6.24827,2023-06-01,60.6,45.8,54.8,0.0,15.4,60.17,,1027.4
Ireland,53.3481,-6.24827,2023-06-02,58.7,50.0,54.2,0.0,13.4,73.29,40.3,1026.8
Ireland,53.3481,-6.24827,2023-06-03,64.4,41.5,56.2,0.0,11.8,72.29,,1025.6
Ireland,53.3481,-6.24827,2023-06-04,64.9,44.6,58.0,0.0,13.2,68.58,,1025.7
Ireland,53.3481,-6.24827,2023-06-05,64.9,46.3,58.5,0.0,12.6,97.33,,1025.7
Ireland,53.3481,-6.24827,2023-06-06,60.3,47.9,55.2,0.0,15.6,83.33,,1024.9
Ireland,53.3481,-6.24827,2023-06-07,57.6,46.2,53.4,0.0,17.2,74.79,27.7,1023.0
Ireland,53.3481,-6.24827,2023-06-08,58.9,50.5,54.1,0.0,16.2,71.5,28.9,1018.8
Ireland,53.3481,-6.24827,2023-06-09,63.8,51.6,57.6,0.0,15.8,66.83,28.9,1014.7
Ireland,53.3481,-6.24827,2023-06-10,64.8,53.6,59.9,0.03,11.8,68.75,21.9,1013.1
Ireland,53.3481,-6.24827,2023-06-11,72.0,59.3,65.7,0.0,9.8,143.54,,1014.6
Ireland,53.3481,-6.24827,2023-06-12,69.3,56.2,62.4,0.06,6.6,248.88,,1016.3
Ireland,53.3481,-6.24827,2023-06-13,75.7,60.5,67.3,0.12,12.2,107.92,,1016.1
Ireland,53.3481,-6.24827,2023-06-14,69.5,56.2,64.5,0.0,15.2,86.38,,1018.4
Ireland,53.3481,-6.24827,2023-06-15,73.9,48.1,62.4,0.0,11.2,140.83,,1019.8
Ireland,53.3481,-6.24827,2023-06-16,69.3,53.0,60.7,0.0,9.5,125.96,,1017.8
Ireland,53.3481,-6.24827,2023-06-17,66.0,57.2,60.5,0.43,13.5,128.0,,1012.6
Ireland,53.3481,-6.24827,2023-06-18,69.4,58.5,63.2,0.0,12.3,125.42,,1007.8
Ireland,53.3481,-6.24827,2023-06-19,71.3,58.0,64.3,0.01,14.1,209.88,,1005.7
Ireland,53.3481,-6.24827,2023-06-20,66.1,57.5,61.8,0.32,10.9,192.79,,1007.2
Ireland,53.3481,-6.24827,2023-06-21,71.2,57.3,63.7,0.0,17.2,218.54,,1013.1
Ireland,53.3481,-6.24827,2023-06-22,68.8,51.0,61.6,0.0,10.9,120.63,,1019.8
Ireland,53.3481,-6.24827,2023-06-23,69.9,60.6,65.4,0.03,16.5,188.21,31.1,1018.3
Ireland,53.3481,-6.24827,2023-06-24,74.7,63.6,68.6,0.0,15.6,199.46,25.3,1017.5
Ireland,53.3481,-6.24827,2023-06-25,66.6,54.5,62.1,0.17,14.6,221.08,,1010.8
Ireland,53.3481,-6.24827,2023-06-26,66.2,52.8,59.3,0.01,14.5,239.21,25.3,1017.8
Ireland,53.3481,-6.24827,2023-06-27,71.8,57.7,64.2,0.02,15.0,220.17,25.3,1015.8
Ireland,53.3481,-6.24827,2023-06-28,67.0,56.9,61.3,0.08,20.5,256.71,26.4,1015.3
Ireland,53.3481,-6.24827,2023-06-29,64.8,48.8,57.8,0.0,13.1,256.0,,1017.9
Ireland,53.3481,-6.24827,2023-06-30,62.4,55.0,58.9,0.05,17.9,237.33,28.9,1007.0
Ireland,53.3481,-6.24827,2023-07-01,64.1,54.7,58.5,0.03,24.2,273.13,,1006.8
Ireland,53.3481,-6.24827,2023-07-02,63.5,50.6,56.0,0.02,22.2,257.63,40.3,1010.5
Ireland,53.3481,-6.24827,2023-07-03,61.6,49.9,54.0,0.18,21.4,255.83,32.2,1008.4
Ireland,53.3481,-6.24827,2023-07-04,64.8,48.8,56.2,0.09,19.1,257.17,,1007.7
Ireland,53.3481,-6.24827,2023-07-05,63.3,48.7,56.4,0.06,15.3,248.54,26.4,1010.1
Ireland,53.3481,-6.24827,2023-07-06,63.5,53.5,58.9,0.01,23.2,189.58,43.8,1008.0
Ireland,53.3481,-6.24827,2023-07-07,68.5,59.5,64.6,0.01,20.7,159.25,,1008.0
Ireland,53.3481,-6.24827,2023-07-08,71.0,58.4,65.1,0.0,21.7,170.63,42.5,1009.4
Ireland,53.3481,-6.24827,2023-07-09,68.3,50.0,60.4,0.12,14.1,165.5,20.8,1014.2
Ireland,53.3481,-6.24827,2023-07-10,62.9,54.1,59.1,0.33,11.8,154.5,,1011.2
Ireland,53.3481,-6.24827,2023-07-11,67.1,56.0,59.6,0.24,15.3,258.46,,1006.5
Ireland,53.3481,-6.24827,2023-07-12,66.9,52.7,59.0,0.01,20.9,258.83,19.7,1008.8
Ireland,53.3481,-6.24827,2023-07-13,65.8,50.1,58.4,0.03,11.2,234.88,,1013.2
Ireland,53.3481,-6.24827,2023-07-14,63.9,55.6,58.2,0.66,22.7,148.67,38.7,999.5
Ireland,53.3481,-6.24827,2023-07-15,59.0,55.4,57.4,0.3,21.5,227.38,36.9,990.0
Ireland,53.3481,-6.24827,2023-07-16,64.0,53.7,57.2,0.0,20.4,252.96,32.2,1004.6
Ireland,53.3481,-6.24827,2023-07-17,64.3,53.6,58.1,0.0,11.8,248.35,,1014.7
Ireland,53.3481,-6.24827,2023-07-18,63.1,54.2,57.8,0.0,9.2,192.83,,1014.7
